	left	top	right	bottom	Confidence	object
	291 	132 	347 	227 	0.60 	   0.00000]])
f302	393 	160 	422 	308 	0.82 	   0.00000]
	222 	32 	410 	187 	0.54 	   4.00000]])
f304	289 	15 	434 	294 	0.40 	 0.00000e+00]])
f305	277 	20 	333 	141 	0.81 	   0.00000]])
f306	299 	114 	367 	174 	0.30 	 0.00000e+00]])
f4	348 	302 	524 	612 	0.87 	 0.00000e+00]
	439 	912 	468 	971 	0.73 	 0.00000e+00]
	330 	886 	362 	935 	0.48 	 0.00000e+00]
	391 	910 	422 	965 	0.47 	 0.00000e+00]
	11 	874 	61 	935 	0.44 	 0.00000e+00]
	626 	904 	706 	944 	0.35 	 2.00000e+00]
	64 	892 	134 	947 	0.26 	 5.60000e+01]])
f6	318 	131 	428 	204 	0.86 	 2.00000e+00]
	234 	136 	279 	170 	0.37 	 2.00000e+00]])
f7	61 	93 	188 	157 	0.87 	 2.00000e+00]
	295 	27 	343 	53 	0.87 	 2.00000e+00]
	446 	70 	494 	105 	0.85 	 2.00000e+00]
	90 	49 	98 	65 	0.67 	 0.00000e+00]
	105 	15 	208 	71 	0.58 	 7.00000e+00]
	40 	8 	66 	25 	0.31 	 2.00000e+00]
	417 	39 	433 	66 	0.29 	 0.00000e+00]])
s0	271 	630 	556 	925 	0.84 	 1.60000e+01]
	379 	359 	573 	742 	0.52 	 0.00000e+00]
	0 	203 	545 	856 	0.38 	 0.00000e+00]])
s1	161 	477 	430 	668 	0.45 	 0.00000e+00]])
s3	0 	171 	266 	1013 	0.87 	 0.00000e+00]
	148 	233 	720 	1071 	0.70 	 0.00000e+00]])
s4	69 	290 	466 	785 	0.89 	 0.00000e+00]
	493 	362 	541 	464 	0.56 	 0.00000e+00]
	45 	316 	71 	435 	0.40 	 0.00000e+00]
	316 	1 	343 	41 	0.36 	 9.00000e+00]])
s5	347 	500 	585 	572 	0.63 	 0.00000e+00]
	362 	232 	667 	567 	0.61 	 0.00000e+00]
	151 	265 	284 	561 	0.55 	 0.00000e+00]])
s6	147 	223 	190 	314 	0.64 	   0.00000]
	207 	219 	256 	322 	0.57 	   0.00000]
	389 	309 	452 	413 	0.52 	   0.00000]])
s7	236 	453 	256 	493 	0.68 	 0.00000e+00]
	462 	426 	492 	480 	0.67 	 0.00000e+00]
	94 	502 	158 	566 	0.47 	 0.00000e+00]
	49 	491 	79 	534 	0.45 	 0.00000e+00]
	370 	472 	483 	568 	0.38 	 1.70000e+01]])
